prompt,prompt_template,gene_misspelled,gene,chr_name,start,end,igscreen_link_gene,igscreen_link_region
Tell me about FBXL14.,Tell me about {gene}.,False,FBXL14,,,,https://igscreen.wenglab.org/gene/FBXL14,
Tell me about GRIP1.,Tell me about {gene}.,False,GRIP1,,,,https://igscreen.wenglab.org/gene/GRIP1,
Tell me about SAG.,Tell me about {gene}.,False,SAG,,,,https://igscreen.wenglab.org/gene/SAG,
Tell me about APB1B.,Tell me about {gene}.,True,APBB1,,,,https://igscreen.wenglab.org/gene/APBB1,
Tell me about TXN2.,Tell me about {gene}.,False,TXN2,,,,https://igscreen.wenglab.org/gene/TXN2,
Tell me about AKAP4.,Tell me about {gene}.,False,AKAP4,,,,https://igscreen.wenglab.org/gene/AKAP4,
Tell me about PIWIL1.,Tell me about {gene}.,False,PIWIL1,,,,https://igscreen.wenglab.org/gene/PIWIL1,
Tell me about NBPF11.,Tell me about {gene}.,False,NBPF11,,,,https://igscreen.wenglab.org/gene/NBPF11,
Tell me about ACTL9.,Tell me about {gene}.,False,ACTL9,,,,https://igscreen.wenglab.org/gene/ACTL9,
Tell me about MCRS1.,Tell me about {gene}.,False,MCRS1,,,,https://igscreen.wenglab.org/gene/MCRS1,
Tell me about SLITRK6.,Tell me about {gene}.,False,SLITRK6,,,,https://igscreen.wenglab.org/gene/SLITRK6,
Tell me about TEN1.,Tell me about {gene}.,False,TEN1,,,,https://igscreen.wenglab.org/gene/TEN1,
Tell me about PDGFA.,Tell me about {gene}.,False,PDGFA,,,,https://igscreen.wenglab.org/gene/PDGFA,
Tell me about GABRB2.,Tell me about {gene}.,False,GABRB2,,,,https://igscreen.wenglab.org/gene/GABRB2,
Tell me about ENSG00000285978.,Tell me about {gene}.,False,ENSG00000285978,,,,https://igscreen.wenglab.org/gene/ENSG00000285978,
Tell me about NCOA4.,Tell me about {gene}.,False,NCOA4,,,,https://igscreen.wenglab.org/gene/NCOA4,
Tell me about HOATZ.,Tell me about {gene}.,False,HOATZ,,,,https://igscreen.wenglab.org/gene/HOATZ,
Tell me about DHPS.,Tell me about {gene}.,False,DHPS,,,,https://igscreen.wenglab.org/gene/DHPS,
Tell me about KRTAP10-9.,Tell me about {gene}.,False,KRTAP10-9,,,,https://igscreen.wenglab.org/gene/KRTAP10-9,
Tell me about ELAC2.,Tell me about {gene}.,False,ELAC2,,,,https://igscreen.wenglab.org/gene/ELAC2,
Tell me about METAP1.,Tell me about {gene}.,False,METAP1,,,,https://igscreen.wenglab.org/gene/METAP1,
Tell me about AKNAD1.,Tell me about {gene}.,False,AKNAD1,,,,https://igscreen.wenglab.org/gene/AKNAD1,
Tell me about CHST11.,Tell me about {gene}.,False,CHST11,,,,https://igscreen.wenglab.org/gene/CHST11,
Tell me about SFRP5.,Tell me about {gene}.,False,SFRP5,,,,https://igscreen.wenglab.org/gene/SFRP5,
Tell me about EDC3.,Tell me about {gene}.,False,EDC3,,,,https://igscreen.wenglab.org/gene/EDC3,
Tell me about ENSG00000241690.,Tell me about {gene}.,False,ENSG00000241690,,,,https://igscreen.wenglab.org/gene/ENSG00000241690,
Tell me about VWC2L.,Tell me about {gene}.,False,VWC2L,,,,https://igscreen.wenglab.org/gene/VWC2L,
Tell me about OR5AS1.,Tell me about {gene}.,False,OR5AS1,,,,https://igscreen.wenglab.org/gene/OR5AS1,
Tell me about OTOF.,Tell me about {gene}.,False,OTOF,,,,https://igscreen.wenglab.org/gene/OTOF,
Tell me about AHR.,Tell me about {gene}.,False,AHR,,,,https://igscreen.wenglab.org/gene/AHR,
Tell me about TLN2.,Tell me about {gene}.,False,TLN2,,,,https://igscreen.wenglab.org/gene/TLN2,
Tell me about HOXB13.,Tell me about {gene}.,False,HOXB13,,,,https://igscreen.wenglab.org/gene/HOXB13,
Tell me about OR10J3.,Tell me about {gene}.,False,OR10J3,,,,https://igscreen.wenglab.org/gene/OR10J3,
Tell me about BCL2L11.,Tell me about {gene}.,False,BCL2L11,,,,https://igscreen.wenglab.org/gene/BCL2L11,
Tell me about MIER2.,Tell me about {gene}.,False,MIER2,,,,https://igscreen.wenglab.org/gene/MIER2,
Tell me about ENSG00000271793.,Tell me about {gene}.,False,ENSG00000271793,,,,https://igscreen.wenglab.org/gene/ENSG00000271793,
Tell me about SLC7A7.,Tell me about {gene}.,False,SLC7A7,,,,https://igscreen.wenglab.org/gene/SLC7A7,
Tell me about KDM5D.,Tell me about {gene}.,False,KDM5D,,,,https://igscreen.wenglab.org/gene/KDM5D,
Tell me about SMARCA5.,Tell me about {gene}.,False,SMARCA5,,,,https://igscreen.wenglab.org/gene/SMARCA5,
Tell me about CENPB.,Tell me about {gene}.,False,CENPB,,,,https://igscreen.wenglab.org/gene/CENPB,
I am interested in the gene IL17RB. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,IL17RB,,,,https://igscreen.wenglab.org/gene/IL17RB,
I am interested in the gene MILR1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,MILR1,,,,https://igscreen.wenglab.org/gene/MILR1,
I am interested in the gene FIGLA. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,FIGLA,,,,https://igscreen.wenglab.org/gene/FIGLA,
I am interested in the gene PACS2. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,PACS2,,,,https://igscreen.wenglab.org/gene/PACS2,
I am interested in the gene CHID1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,CHID1,,,,https://igscreen.wenglab.org/gene/CHID1,
I am interested in the gene FCF1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,FCF1,,,,https://igscreen.wenglab.org/gene/FCF1,
I am interested in the gene SULT2B1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,SULT2B1,,,,https://igscreen.wenglab.org/gene/SULT2B1,
I am interested in the gene ZNF611. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,ZNF611,,,,https://igscreen.wenglab.org/gene/ZNF611,
I am interested in the gene PGD. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,PGD,,,,https://igscreen.wenglab.org/gene/PGD,
I am interested in the gene SPTBN5. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,SPTBN5,,,,https://igscreen.wenglab.org/gene/SPTBN5,
I am interested in the gene TTC9. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,TTC9,,,,https://igscreen.wenglab.org/gene/TTC9,
I am interested in the gene NOC4L. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,NOC4L,,,,https://igscreen.wenglab.org/gene/NOC4L,
I am interested in the gene GRIK4. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,GRIK4,,,,https://igscreen.wenglab.org/gene/GRIK4,
I am interested in the gene MECR. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,MECR,,,,https://igscreen.wenglab.org/gene/MECR,
I am interested in the gene CD300LB. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,CD300LB,,,,https://igscreen.wenglab.org/gene/CD300LB,
I am interested in the gene CEMIP. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,CEMIP,,,,https://igscreen.wenglab.org/gene/CEMIP,
I am interested in the gene MCM5. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,MCM5,,,,https://igscreen.wenglab.org/gene/MCM5,
I am interested in the gene CPXCR1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,CPXCR1,,,,https://igscreen.wenglab.org/gene/CPXCR1,
I am interested in the gene DNAJC27. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,DNAJC27,,,,https://igscreen.wenglab.org/gene/DNAJC27,
I am interested in the gene TAF6L. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,TAF6L,,,,https://igscreen.wenglab.org/gene/TAF6L,
I am interested in the gene WSB1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,WSB1,,,,https://igscreen.wenglab.org/gene/WSB1,
I am interested in the gene CCDC110. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,CCDC110,,,,https://igscreen.wenglab.org/gene/CCDC110,
I am interested in the gene KRT6B. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,KRT6B,,,,https://igscreen.wenglab.org/gene/KRT6B,
I am interested in the gene OR51E1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,OR51E1,,,,https://igscreen.wenglab.org/gene/OR51E1,
I am interested in the gene EBPL. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,EBPL,,,,https://igscreen.wenglab.org/gene/EBPL,
I am interested in the gene PRR30. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,PRR30,,,,https://igscreen.wenglab.org/gene/PRR30,
I am interested in the gene LI36RN. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,True,IL36RN,,,,https://igscreen.wenglab.org/gene/IL36RN,
I am interested in the gene ICA1L. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,ICA1L,,,,https://igscreen.wenglab.org/gene/ICA1L,
I am interested in the gene IGFBP4. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,IGFBP4,,,,https://igscreen.wenglab.org/gene/IGFBP4,
I am interested in the gene FXR1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,FXR1,,,,https://igscreen.wenglab.org/gene/FXR1,
I am interested in the gene USP22. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,USP22,,,,https://igscreen.wenglab.org/gene/USP22,
I am interested in the gene SRM. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,SRM,,,,https://igscreen.wenglab.org/gene/SRM,
I am interested in the gene UBAP2L. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,UBAP2L,,,,https://igscreen.wenglab.org/gene/UBAP2L,
I am interested in the gene C20orf202. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,C20orf202,,,,https://igscreen.wenglab.org/gene/C20orf202,
I am interested in the gene BBS12. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,BBS12,,,,https://igscreen.wenglab.org/gene/BBS12,
I am interested in the gene GHRL. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,GHRL,,,,https://igscreen.wenglab.org/gene/GHRL,
I am interested in the gene OR2AP1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,OR2AP1,,,,https://igscreen.wenglab.org/gene/OR2AP1,
I am interested in the gene HRC. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,HRC,,,,https://igscreen.wenglab.org/gene/HRC,
I am interested in the gene ENSG00000272104. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,ENSG00000272104,,,,https://igscreen.wenglab.org/gene/ENSG00000272104,
I am interested in the gene CSHL1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,CSHL1,,,,https://igscreen.wenglab.org/gene/CSHL1,
I am interested in the gene SLC5A5. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,SLC5A5,,,,https://igscreen.wenglab.org/gene/SLC5A5,
I am interested in the gene PCGF3. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,PCGF3,,,,https://igscreen.wenglab.org/gene/PCGF3,
I am interested in the gene MAGEA8. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,MAGEA8,,,,https://igscreen.wenglab.org/gene/MAGEA8,
I am interested in the gene CPNE7. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,CPNE7,,,,https://igscreen.wenglab.org/gene/CPNE7,
I am interested in the gene HERPUD2. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,HERPUD2,,,,https://igscreen.wenglab.org/gene/HERPUD2,
I am interested in the gene SLC22A3. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,SLC22A3,,,,https://igscreen.wenglab.org/gene/SLC22A3,
I am interested in the gene P2RY8. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,P2RY8,,,,https://igscreen.wenglab.org/gene/P2RY8,
I am interested in the gene DNAH11. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,DNAH11,,,,https://igscreen.wenglab.org/gene/DNAH11,
I am interested in the gene LPCAT2. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,LPCAT2,,,,https://igscreen.wenglab.org/gene/LPCAT2,
I am interested in the gene AKR7A3. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,AKR7A3,,,,https://igscreen.wenglab.org/gene/AKR7A3,
I am interested in the gene EI24. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,EI24,,,,https://igscreen.wenglab.org/gene/EI24,
I am interested in the gene UFC1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,UFC1,,,,https://igscreen.wenglab.org/gene/UFC1,
I am interested in the gene REN. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,REN,,,,https://igscreen.wenglab.org/gene/REN,
I am interested in the gene RPE. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,RPE,,,,https://igscreen.wenglab.org/gene/RPE,
I am interested in the gene GPR87. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,GPR87,,,,https://igscreen.wenglab.org/gene/GPR87,
I am interested in the gene GUCA1B. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,GUCA1B,,,,https://igscreen.wenglab.org/gene/GUCA1B,
I am interested in the gene ST8SIA4. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,ST8SIA4,,,,https://igscreen.wenglab.org/gene/ST8SIA4,
I am interested in the gene BNIP1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,BNIP1,,,,https://igscreen.wenglab.org/gene/BNIP1,
I am interested in the gene HSD17B6. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,HSD17B6,,,,https://igscreen.wenglab.org/gene/HSD17B6,
I am interested in the gene SREK1IP1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,SREK1IP1,,,,https://igscreen.wenglab.org/gene/SREK1IP1,
I am interested in the gene OR14C36. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,OR14C36,,,,https://igscreen.wenglab.org/gene/OR14C36,
I am interested in the gene NCAM1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,NCAM1,,,,https://igscreen.wenglab.org/gene/NCAM1,
I am interested in the gene CHRDL1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,CHRDL1,,,,https://igscreen.wenglab.org/gene/CHRDL1,
I am interested in the gene POMZP3. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,POMZP3,,,,https://igscreen.wenglab.org/gene/POMZP3,
I am interested in the gene TMEM70. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,TMEM70,,,,https://igscreen.wenglab.org/gene/TMEM70,
I am interested in the gene SPANXN4. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,SPANXN4,,,,https://igscreen.wenglab.org/gene/SPANXN4,
I am interested in the gene TUBA3E. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,TUBA3E,,,,https://igscreen.wenglab.org/gene/TUBA3E,
I am interested in the gene ERVH48-1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,ERVH48-1,,,,https://igscreen.wenglab.org/gene/ERVH48-1,
I am interested in the gene TGM6. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,TGM6,,,,https://igscreen.wenglab.org/gene/TGM6,
I am interested in the gene TMEM164. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,TMEM164,,,,https://igscreen.wenglab.org/gene/TMEM164,
I am interested in the gene UXT. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,UXT,,,,https://igscreen.wenglab.org/gene/UXT,
I am interested in the gene EFCAB9. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,EFCAB9,,,,https://igscreen.wenglab.org/gene/EFCAB9,
I am interested in the gene FANCC. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,FANCC,,,,https://igscreen.wenglab.org/gene/FANCC,
I am interested in the gene TLX1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,TLX1,,,,https://igscreen.wenglab.org/gene/TLX1,
I am interested in the gene ENSG00000264187. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,ENSG00000264187,,,,https://igscreen.wenglab.org/gene/ENSG00000264187,
I am interested in the gene GPN2. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,GPN2,,,,https://igscreen.wenglab.org/gene/GPN2,
I am interested in the gene DCK. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,DCK,,,,https://igscreen.wenglab.org/gene/DCK,
I am interested in the gene EPHA5. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,EPHA5,,,,https://igscreen.wenglab.org/gene/EPHA5,
I am interested in the gene KRTAP9-2. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,KRTAP9-2,,,,https://igscreen.wenglab.org/gene/KRTAP9-2,
I am interested in the gene FUT9. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,FUT9,,,,https://igscreen.wenglab.org/gene/FUT9,
I am interested in the gene WASHC3. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,WASHC3,,,,https://igscreen.wenglab.org/gene/WASHC3,
I am interested in the gene IGFBP1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,IGFBP1,,,,https://igscreen.wenglab.org/gene/IGFBP1,
I am interested in the gene PET100. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,PET100,,,,https://igscreen.wenglab.org/gene/PET100,
I am interested in the gene STRIP2. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,STRIP2,,,,https://igscreen.wenglab.org/gene/STRIP2,
I am interested in the gene MYH66. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,True,MYH6,,,,https://igscreen.wenglab.org/gene/MYH6,
I am interested in the gene NT5M. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,NT5M,,,,https://igscreen.wenglab.org/gene/NT5M,
I am interested in the gene HHEX. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,HHEX,,,,https://igscreen.wenglab.org/gene/HHEX,
I am interested in the gene KRT72. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,KRT72,,,,https://igscreen.wenglab.org/gene/KRT72,
I am interested in the gene PAGE2. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,PAGE2,,,,https://igscreen.wenglab.org/gene/PAGE2,
I am interested in the gene CYP4F22. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,CYP4F22,,,,https://igscreen.wenglab.org/gene/CYP4F22,
I am interested in the gene SASH3. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,SASH3,,,,https://igscreen.wenglab.org/gene/SASH3,
I am interested in the gene OVOL1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,OVOL1,,,,https://igscreen.wenglab.org/gene/OVOL1,
I am interested in the gene POLR3GL. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,POLR3GL,,,,https://igscreen.wenglab.org/gene/POLR3GL,
I am interested in the gene RSPO4. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,RSPO4,,,,https://igscreen.wenglab.org/gene/RSPO4,
I am interested in the gene GFER. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,GFER,,,,https://igscreen.wenglab.org/gene/GFER,
I am interested in the gene VOPP1. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,VOPP1,,,,https://igscreen.wenglab.org/gene/VOPP1,
I am interested in the gene HSPE1-MOB4. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,HSPE1-MOB4,,,,https://igscreen.wenglab.org/gene/HSPE1-MOB4,
I am interested in the gene MT1M. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,MT1M,,,,https://igscreen.wenglab.org/gene/MT1M,
I am interested in the gene TXO. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,True,TOX,,,,https://igscreen.wenglab.org/gene/TOX,
I am interested in the gene ZNF319. What can you tell me?,I am interested in the gene {gene}. What can you tell me?,False,ZNF319,,,,https://igscreen.wenglab.org/gene/ZNF319,
"What ccres are near ZNF79, like in the region chr9:127424374-127449728?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,ZNF79,9,127424374,127449728,https://igscreen.wenglab.org/gene/ZNF79,https://igscreen.wenglab.org/region/chr9:127424374-127449728/browser
"What ccres are near CWF19L1, like in the region chr10:100232298-100267680?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,CWF19L1,10,100232298,100267680,https://igscreen.wenglab.org/gene/CWF19L1,https://igscreen.wenglab.org/region/chr10:100232298-100267680/browser
"What ccres are near SRP9, like in the region chr1:225777813-225790468?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,SRP9,1,225777813,225790468,https://igscreen.wenglab.org/gene/SRP9,https://igscreen.wenglab.org/region/chr1:225777813-225790468/browser
"What ccres are near ENSG00000272297, like in the region chr4:186426546-186555328?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,ENSG00000272297,4,186426546,186555328,https://igscreen.wenglab.org/gene/ENSG00000272297,https://igscreen.wenglab.org/region/chr4:186426546-186555328/browser
"What ccres are near HAPLN2, like in the region chr1:156619331-156625725?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,HAPLN2,1,156619331,156625725,https://igscreen.wenglab.org/gene/HAPLN2,https://igscreen.wenglab.org/region/chr1:156619331-156625725/browser
"What ccres are near FRG2C, like in the region chr3:75664328-75667220?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,FRG2C,3,75664328,75667220,https://igscreen.wenglab.org/gene/FRG2C,https://igscreen.wenglab.org/region/chr3:75664328-75667220/browser
"What ccres are near NUDT6, like in the region chr4:122888697-122922968?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,NUDT6,4,122888697,122922968,https://igscreen.wenglab.org/gene/NUDT6,https://igscreen.wenglab.org/region/chr4:122888697-122922968/browser
"What ccres are near TRIM5, like in the region chr11:5663195-5938619?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,TRIM5,11,5663195,5938619,https://igscreen.wenglab.org/gene/TRIM5,https://igscreen.wenglab.org/region/chr11:5663195-5938619/browser
"What ccres are near INTTU, like in the region chr4:127623271-127726737?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",True,INTU,4,127623271,127726737,https://igscreen.wenglab.org/gene/INTU,https://igscreen.wenglab.org/region/chr4:127623271-127726737/browser
"What ccres are near CD83, like in the region chr6:14117256-14140682?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,CD83,6,14117256,14140682,https://igscreen.wenglab.org/gene/CD83,https://igscreen.wenglab.org/region/chr6:14117256-14140682/browser
"What ccres are near ZNF516, like in the region chr18:76357682-76495242?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,ZNF516,18,76357682,76495242,https://igscreen.wenglab.org/gene/ZNF516,https://igscreen.wenglab.org/region/chr18:76357682-76495242/browser
"What ccres are near TSEN15, like in the region chr1:184051651-184123978?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,TSEN15,1,184051651,184123978,https://igscreen.wenglab.org/gene/TSEN15,https://igscreen.wenglab.org/region/chr1:184051651-184123978/browser
"What ccres are near ENSG00000266302, like in the region chr17:16690261-16804453?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,ENSG00000266302,17,16690261,16804453,https://igscreen.wenglab.org/gene/ENSG00000266302,https://igscreen.wenglab.org/region/chr17:16690261-16804453/browser
"What ccres are near LARGE1, like in the region chr22:33162226-33922841?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,LARGE1,22,33162226,33922841,https://igscreen.wenglab.org/gene/LARGE1,https://igscreen.wenglab.org/region/chr22:33162226-33922841/browser
"What ccres are near SEGEF, like in the region chr11:17788048-18013047?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",True,SERGEF,11,17788048,18013047,https://igscreen.wenglab.org/gene/SERGEF,https://igscreen.wenglab.org/region/chr11:17788048-18013047/browser
"What ccres are near AUH, like in the region chr9:91213815-91361918?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,AUH,9,91213815,91361918,https://igscreen.wenglab.org/gene/AUH,https://igscreen.wenglab.org/region/chr9:91213815-91361918/browser
"What ccres are near RGS7BP, like in the region chr5:64506015-64612319?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,RGS7BP,5,64506015,64612319,https://igscreen.wenglab.org/gene/RGS7BP,https://igscreen.wenglab.org/region/chr5:64506015-64612319/browser
"What ccres are near PHEX, like in the region chrX:22032325-22494713?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,PHEX,X,22032325,22494713,https://igscreen.wenglab.org/gene/PHEX,https://igscreen.wenglab.org/region/chrX:22032325-22494713/browser
"What ccres are near PALS2, like in the region chr7:24573268-24694193?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,PALS2,7,24573268,24694193,https://igscreen.wenglab.org/gene/PALS2,https://igscreen.wenglab.org/region/chr7:24573268-24694193/browser
"What ccres are near ZBED4, like in the region chr22:49853844-49897383?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,ZBED4,22,49853844,49897383,https://igscreen.wenglab.org/gene/ZBED4,https://igscreen.wenglab.org/region/chr22:49853844-49897383/browser
"What ccres are near SLC24A1, like in the region chr15:65611366-65660995?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,SLC24A1,15,65611366,65660995,https://igscreen.wenglab.org/gene/SLC24A1,https://igscreen.wenglab.org/region/chr15:65611366-65660995/browser
"What ccres are near MRPL39, like in the region chr21:25585656-25607517?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,MRPL39,21,25585656,25607517,https://igscreen.wenglab.org/gene/MRPL39,https://igscreen.wenglab.org/region/chr21:25585656-25607517/browser
"What ccres are near CDK5RAP3, like in the region chr17:47967810-47981781?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,CDK5RAP3,17,47967810,47981781,https://igscreen.wenglab.org/gene/CDK5RAP3,https://igscreen.wenglab.org/region/chr17:47967810-47981781/browser
"What ccres are near KRTAP4-8, like in the region chr17:41096981-41098142?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,KRTAP4-8,17,41096981,41098142,https://igscreen.wenglab.org/gene/KRTAP4-8,https://igscreen.wenglab.org/region/chr17:41096981-41098142/browser
"What ccres are near ZNF593, like in the region chr1:26169908-26170873?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,ZNF593,1,26169908,26170873,https://igscreen.wenglab.org/gene/ZNF593,https://igscreen.wenglab.org/region/chr1:26169908-26170873/browser
"What ccres are near AKAP1, like in the region chr17:57085092-57121346?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,AKAP1,17,57085092,57121346,https://igscreen.wenglab.org/gene/AKAP1,https://igscreen.wenglab.org/region/chr17:57085092-57121346/browser
"What ccres are near SGK3, like in the region chr8:66712734-66862022?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,SGK3,8,66712734,66862022,https://igscreen.wenglab.org/gene/SGK3,https://igscreen.wenglab.org/region/chr8:66712734-66862022/browser
"What ccres are near MBNL3, like in the region chrX:132369320-132489968?","What ccres are near {gene}, like in the region chr{chr}:{start}-{end}?",False,MBNL3,X,132369320,132489968,https://igscreen.wenglab.org/gene/MBNL3,https://igscreen.wenglab.org/region/chrX:132369320-132489968/browser
